Desired Heading,Current Heading,Heading Difference,Movements,left_weightage,right_weightage
114.77,96.70,18.07,Auto:Turning Left,,
114.77,103.44,11.33,Auto:Turning Right,,
114.77,102.51,12.25,Auto:Turning Left,,
114.91,101.95,12.96,Auto:Turning Right,,
114.91,106.12,8.79,Auto:Turning Left,,
114.91,112.54,2.37,Auto:Turning Right,,
114.91,122.10,-7.19,Auto:Turning Left,,
114.91,130.15,-15.24,Auto:Turning Right,,
114.91,137.62,-22.71,Auto:Turning Left,,
114.91,143.74,-28.83,Auto:Turning Right,,
115.05,145.61,-30.56,Auto:Turning Left,,
115.05,145.73,-30.68,Auto:Turning Right,,
115.05,143.06,-28.01,Auto:Turning Left,,
115.05,144.44,-29.39,Auto:Turning Left,,
115.05,132.27,-17.21,Auto:Turning Right,,
115.05,127.68,-12.63,Auto:Turning Left,,
115.05,128.83,-13.78,Auto:Turning Right,,
115.05,123.69,-8.64,Auto:Turning Left,,
115.05,115.16,-0.11,Auto:Turning Right,,
115.05,117.70,-2.65,Auto:Turning Right,,
115.05,118.62,-3.57,Auto:Turning Forward,,
114.98,116.52,-1.54,No Obsticle: Moving straight,,
114.98,95.10,19.88,Auto:Turning Forward,,
114.98,82.30,32.68,No Obsticle: Moving straight,,
114.98,80.30,34.68,Auto:Turning Forward,,
114.98,81.03,33.96,No Obsticle: Moving straight,,
114.98,82.86,32.12,Auto:Turning Forward,,
114.98,86.74,28.24,No Obsticle: Moving straight,,
114.98,95.27,19.71,Auto:Turning Forward,,
114.98,101.11,13.88,No Obsticle: Moving straight,,
114.98,108.67,6.32,Auto:Turning Forward,,
114.98,120.14,-5.15,No Obsticle: Moving straight,,
114.98,122.92,-7.94,Auto:Turning Forward,,
114.98,127.92,-12.93,No Obsticle: Moving straight,,
114.98,136.56,-21.58,Auto:Turning Forward,,
115.06,140.03,-24.97,No Obsticle: Moving straight,,
115.06,140.75,-25.70,Auto:Turning Forward,,
115.06,127.06,-12.00,No Obsticle: Moving straight,,
115.06,126.23,-11.17,Auto:Turning Forward,,
115.06,111.92,3.14,No Obsticle: Moving straight,,
115.06,110.50,4.55,Auto:Turning Forward,,
115.06,106.50,8.56,No Obsticle: Moving straight,,
115.48,104.78,10.70,Auto:Turning Forward,,
115.48,101.25,14.23,Forward Right tilt,,
115.48,106.16,9.32,Auto:Turning Forward,,
115.48,108.65,6.83,Forward Right tilt,,
115.48,110.97,4.52,Auto:Turning Forward,,
115.48,112.77,2.71,Forward Right tilt,,
115.48,112.63,2.85,Auto:Turning Forward,,
